resume_id,name,college,college_tier,city,city_tier,employment_gap_months,source_category,education_raw,skills_raw,experience_raw,resume_text,degree_raw,primary_degree,course_raw,course_final,skills_extracted,skill_experience,skills_clean,total_experience_months,total_experience_years,relevant_experience_months,career_stage,experience_extraction_method,projects_extracted
R001,Priya Nair,Indian Institute of Technology Bombay,1,Kolkata,1,0,SAP Developer,SAP BO Developer and SAP HANA Developer SAP BO Developer - Credit Suisse,Sap Bi- Exprience - 72 months CMC- Exprience - 72 months HANA- Exprience - 36 months BUSINESS INTELLIGENCE- Exprience - 72 months SQL- Exprience - 72 months SAP BO- Exprience - 72 months,"company - Accenture description - Company Accenture, Pune Environment SAP BO 4.2, IDT, HANA views Role SAP BO Developer and HANA developer Description: This Project aims to provide reporting solution for Swiss business users.The universe supports analyzing customer funds purchase order patterns and order lifecycle reporting. The purpose of reports is to provide an end-to-end view of the entire sales order transaction, and to track the investment orders in various funds, including the status of orders, order types along with the gross value and net value to be generated from these orders. Roles & Responsibilities: â¢ Analyzed user requirements and sorted the best possible ways of optimizing performance of universe. â¢ CV and","Name: Priya Nair
College: Indian Institute of Technology Bombay
City: Kolkata
Employment Gap: None

Competencies: SAP Business Intelligence Version SAP BO 4.2 BO Tools Design Studio, IDT, Webi, UDT, CMC activities Backend DB HANA, BW, Bex Queries, SQLEducation Details SAP BO Developer and SAP HANA Developer SAP BO Developer - Credit Suisse Skill Details Sap Bi- Exprience - 72 months CMC- Exprience - 72 months HANA- Exprience - 36 months BUSINESS INTELLIGENCE- Exprience - 72 months SQL- Exprience - 72 months SAP BO- Exprience - 72 monthsCompany Details company - Accenture description - Company Accenture, Pune Environment SAP BO 4.2, IDT, HANA views Role SAP BO Developer and HANA developer Description: This Project aims to provide reporting solution for Swiss business users.The universe supports analyzing customer funds purchase order patterns and order lifecycle reporting. The purpose of reports is to provide an end-to-end view of the entire sales order transaction, and to track the investment orders in various funds, including the status of orders, order types along with the gross value and net value to be generated from these orders. Roles & Responsibilities: â¢ Analyzed user requirements and sorted the best possible ways of optimizing performance of universe. â¢ CV and",,,,Unknown,"['Sap Bi', 'CMC', 'HANA', 'BUSINESS INTELLIGENCE', 'SQL', 'SAP BO']","{'SAP BI': 72, 'CMC': 72, 'HANA': 36, 'BUSINESS INTELLIGENCE': 72, 'SQL': 72, 'SAP BO': 72}","SAP BI, CMC, HANA, BUSINESS INTELLIGENCE, SQL, SAP BO",0,0.0,0,Unknown,none,[]
R002,Ananya Iyer,Indian Institute of Technology Kanpur,1,Bangalore,1,0,HR,January 2006 Bachelor in Hospitality Management International Hospitality Management Queen Margaret University Edinburg January 2006 diploma Hotel Management International Institute of Hotel Management HR,Hr Management- Exprience - Less than 1 year months,"company - Atri Developers description - â¢ HR Payroll Statutory Compliance Performance Management company - description - Employee Relations and Administration: Creating industry specific Policies, Procedure, Forms, Formats, Letters, Checklists etc Payroll Management: Salary restructuring to process payroll of 600 employees. â¢ Validation of all input (Attendance, Leaves, and Salaries) before starting salary process. â¢ Processing accurate & error free salary of employees. â¢ Responsible for compensation and benefits administration. â¢ Coordinate with Accounts team for salary processing. â¢ Attendance & Leave record management â¢ Assuring prompt and satisfactory resolution of payroll related queries","Name: Ananya Iyer
College: Indian Institute of Technology Kanpur
City: Bangalore
Employment Gap: None

I.T. Skills â¢ Windows XP, Ms Office (Word, Excel: Look-ups; Pivot table; other basic functions ; Power Point) â¢ Saral Payment Package- payroll software â¢ Internet ApplicationsEducation Details January 2006 Bachelor in Hospitality Management International Hospitality Management Queen Margaret University Edinburg January 2006 diploma Hotel Management International Institute of Hotel Management HR Skill Details Hr Management- Exprience - Less than 1 year monthsCompany Details company - Atri Developers description - â¢ HR Payroll Statutory Compliance Performance Management company - description - Employee Relations and Administration: Creating industry specific Policies, Procedure, Forms, Formats, Letters, Checklists etc Payroll Management: Salary restructuring to process payroll of 600 employees. â¢ Validation of all input (Attendance, Leaves, and Salaries) before starting salary process. â¢ Processing accurate & error free salary of employees. â¢ Responsible for compensation and benefits administration. â¢ Coordinate with Accounts team for salary processing. â¢ Attendance & Leave record management â¢ Assuring prompt and satisfactory resolution of payroll related queries",Diploma,Diploma,Hospitality Management,Hospitality Management,['Hr Management'],{'Hr Management': 6},Hr Management,0,0.0,0,Unknown,none,[]
R003,Priya Nair,BITS Pilani,1,Delhi,1,0,Arts,"January 2017 Rachana Sansad School of Interior Deign January 2013 Holy Family High School Master of Commerce Marketing Mumbai, Maharashtra University of Mumbai Drawing & Arts & Craft Teacher Drawing & Arts & Craft Teacher - Ghatkopar YMCA",,company - Ghatkopar YMCA description - for 3 Years. â Worked in Jungle Cubs Gym as a Co-ordinator for 1 Year.,"Name: Priya Nair
College: BITS Pilani
City: Delhi
Employment Gap: None

Education Details January 2017 Rachana Sansad School of Interior Deign January 2013 Holy Family High School Master of Commerce Marketing Mumbai, Maharashtra University of Mumbai Drawing & Arts & Craft Teacher Drawing & Arts & Craft Teacher - Ghatkopar YMCA Skill Details Company Details company - Ghatkopar YMCA description - for 3 Years. â Worked in Jungle Cubs Gym as a Co-ordinator for 1 Year.",M.Com,M.Com,Marketing,Marketing,[],{},,36,3.0,36,Mid Career,explicit_years,[]
R004,Ishita Chopra,Indian Institute of Technology Roorkee,1,Mumbai,1,0,Database,"January 2007 Bachelor of Engineering Information Technology Sangli, Maharashtra Walchand College January 2004 Diploma Computer Engineering Jalgaon, Maharashtra Govt. Polytechnic Lead Database Administrator Lead Database Administrator - Tieto Software",DATABASES- Exprience - 108 months MIDDLEWARE- Exprience - 96 months RMAN- Exprience - 84 months SHELL SCRIPTS- Exprience - 48 months,"company - Tieto Software description - As a part of AO (Application Operations) team, scope in project is quite wide than typical database administration. Range of accomplishments are extended right from Data Tier to Middle Tier & Application Tier: - Maximized availability of applications from 99.3% to 99.8% - Raised business by presenting Proof of Concepts for 10+ cases - Delivered upgrades of various applications time to time to keep it on supported platform - Saved SLAs as per contract by means","Name: Ishita Chopra
College: Indian Institute of Technology Roorkee
City: Mumbai
Employment Gap: None

Areas of Expertise â¢ Oracle Databases 12c, 11g, 10g â¢ Weblogic 12c, 11g â¢ Grid Infrastructure â¢ RMAN â¢ ASM â¢ Middleware: OIM, OAM, SOA â¢ Shell Scripts â¢ DataGuard â¢ Web servers - OHS, Apache â¢ Architecture Designs â¢ Proof of Concepts â¢ DevOpsEducation Details January 2007 Bachelor of Engineering Information Technology Sangli, Maharashtra Walchand College January 2004 Diploma Computer Engineering Jalgaon, Maharashtra Govt. Polytechnic Lead Database Administrator Lead Database Administrator - Tieto Software Skill Details DATABASES- Exprience - 108 months MIDDLEWARE- Exprience - 96 months RMAN- Exprience - 84 months SHELL SCRIPTS- Exprience - 48 monthsCompany Details company - Tieto Software description - As a part of AO (Application Operations) team, scope in project is quite wide than typical database administration. Range of accomplishments are extended right from Data Tier to Middle Tier & Application Tier: - Maximized availability of applications from 99.3% to 99.8% - Raised business by presenting Proof of Concepts for 10+ cases - Delivered upgrades of various applications time to time to keep it on supported platform - Saved SLAs as per contract by means",B.E.,B.E.,Information Technology,Information Technology,"['DATABASES', 'MIDDLEWARE', 'RMAN', 'SHELL SCRIPTS']","{'Databases': 108, 'MIDDLEWARE': 96, 'RMAN': 84, 'SHELL SCRIPTS': 48}","Databases, MIDDLEWARE, RMAN, SHELL SCRIPTS",0,0.0,0,Unknown,none,[]
R005,Arjun Sharma,Indian Institute of Technology Delhi,1,Chennai,1,0,DevOps Engineer,"January 2013 Post Graduate Diploma Information Technology Pune, Maharashtra Symbiosis Institute January 2007 Bachelor of Engineering Electronics and Telecommunications Pune, Maharashtra Pune University Cloud Operations Architect (DevOps) Cloud Operations Architect (DevOps) - DevOps",Cloud Computing- Exprience - 48 months Shell Scripting- Exprience - 96 months Python- Exprience - 6 months Automation- Exprience - 72 months Solution Architect- Exprience - Less than 1 year months Azure- Exprience - Less than 1 year months AWS- Exprience - Less than 1 year months,"company - DevOps description - Type: DevOps Engineer. Platform: AWS Cloud, Azure Cloud. Services: AWS EC2, RDS, CloudFormation Template, Lambda, Dynamo DB, Cloud Watch, Auto-scaling, Elastic Bean stalk, Appdynamics. Here I manage Tibco Spotfire enterprise & Cloud Product support. Being the only Ops member in India I got a chance to recruit & build entire team of 15 members. I also worked on 4 different Projects / products simultaneously and added the hired members into these products. My responsibilities in this","Name: Arjun Sharma
College: Indian Institute of Technology Delhi
City: Chennai
Employment Gap: None

Skills VISA B1-VISA (USA) Onsite Visits to Sweden & US (Seattle) Education Details January 2013 Post Graduate Diploma Information Technology Pune, Maharashtra Symbiosis Institute January 2007 Bachelor of Engineering Electronics and Telecommunications Pune, Maharashtra Pune University Cloud Operations Architect (DevOps) Cloud Operations Architect (DevOps) - DevOps Skill Details Cloud Computing- Exprience - 48 months Shell Scripting- Exprience - 96 months Python- Exprience - 6 months Automation- Exprience - 72 months Solution Architect- Exprience - Less than 1 year months Azure- Exprience - Less than 1 year months AWS- Exprience - Less than 1 year monthsCompany Details company - DevOps description - Type: DevOps Engineer. Platform: AWS Cloud, Azure Cloud. Services: AWS EC2, RDS, CloudFormation Template, Lambda, Dynamo DB, Cloud Watch, Auto-scaling, Elastic Bean stalk, Appdynamics. Here I manage Tibco Spotfire enterprise & Cloud Product support. Being the only Ops member in India I got a chance to recruit & build entire team of 15 members. I also worked on 4 different Projects / products simultaneously and added the hired members into these products. My responsibilities in this",B.E.,B.E.,Information Technology,Information Technology,"['Cloud Computing', 'Shell Scripting', 'Python', 'Automation', 'months Azure', 'months AWS']","{'Cloud Computing': 48, 'Shell Scripting': 96, 'Python': 6, 'Automation': 72, 'Solution Architect': 6, 'Azure': 6, 'AWS': 6}","Cloud Computing, Shell Scripting, Python, Automation, Solution Architect, Azure, AWS",0,0.0,0,Unknown,none,[]
R006,Ananya Iyer,BITS Pilani,1,Mumbai,1,0,Operations Manager,"B.Com commerce Mumbai, Maharashtra Bombay University Mumbai, Maharashtra St. Andrews College DIM Business Management IGNOU Operations Manager Operations Manager - Landmark Insurance Brokers Pvt Ltd",EMPLOYEE RESOURCE GROUP- Exprience - 6 months ENTERPRISE RESOURCE PLANNING- Exprience - 6 months ERP- Exprience - 6 months MS OFFICE- Exprience - 6 months Tally- Exprience - 6 months,company - Landmark Insurance Brokers Pvt Ltd description - Jan 2019 till Date About the Company One of India Largest Insurance Brokerage firms with offices across 24 states PAN India and a part of the LandmarkGroup with an annual turnover of 2200 cr Position: Operations Manager Leading and overseeing a team of 12 people to ensure that the correct work processes and TAT are followed with regards to complete insurance handling from cheque submission right upto policy issuance and support to all offices PAN India for Motor and,"Name: Ananya Iyer
College: BITS Pilani
City: Mumbai
Employment Gap: None

IT SKILLS â¢ Well versed with MS Office and Internet Applications and various ERP systems implemented in the company ie.SAGE, Flotilla, LM ERP, Tally 9, WMS, Exceed 4000 etc PERSONAL DOSSIER Permanent Address: Bandra West, Mumbai 400 050Education Details B.Com commerce Mumbai, Maharashtra Bombay University Mumbai, Maharashtra St. Andrews College DIM Business Management IGNOU Operations Manager Operations Manager - Landmark Insurance Brokers Pvt Ltd Skill Details EMPLOYEE RESOURCE GROUP- Exprience - 6 months ENTERPRISE RESOURCE PLANNING- Exprience - 6 months ERP- Exprience - 6 months MS OFFICE- Exprience - 6 months Tally- Exprience - 6 monthsCompany Details company - Landmark Insurance Brokers Pvt Ltd description - Jan 2019 till Date About the Company One of India Largest Insurance Brokerage firms with offices across 24 states PAN India and a part of the LandmarkGroup with an annual turnover of 2200 cr Position: Operations Manager Leading and overseeing a team of 12 people to ensure that the correct work processes and TAT are followed with regards to complete insurance handling from cheque submission right upto policy issuance and support to all offices PAN India for Motor and",B.Com,B.Com,Management,Management,"['EMPLOYEE RESOURCE GROUP', 'ENTERPRISE RESOURCE PLANNING', 'ERP', 'MS OFFICE', 'Tally']","{'EMPLOYEE RESOURCE GROUP': 6, 'ENTERPRISE RESOURCE PLANNING': 6, 'ERP': 6, 'MS OFFICE': 6, 'Tally': 6}","EMPLOYEE RESOURCE GROUP, ENTERPRISE RESOURCE PLANNING, ERP, MS OFFICE, Tally",0,0.0,0,Unknown,none,[]
R007,Aditya Verma,Indian Institute of Technology Kanpur,1,Pune,1,0,Civil Engineer,"January 2005 Diploma Bengaluru, Karnataka Oxford polytechnic Banglore Civil Engineer Civil Engineer - Utility powertech Ltd",,"company - Utility powertech Ltd description - 1. Project Name Nabinagar thermal power Project Aurangabad Bihar Client NTPC/BRBCL Position Civil Engineer company - DAMMAM KSA description - October 2008 to June 2011 AL NAFJAN & AL ABAD CO. DAMMAM KSA Position Civil Engineer Project Undertaken: 1. Project Name: STC & QATIF S/L project no 2065864 Client: Department of civil aviation Main Contractor: Al Nafjan & Al Abad co. Consultant: Arif & Kinfolk 2. Project Name: King Fahad International Airport Client: Department of civil aviation Main Contractor: Al Nafjan & Al Abad co. Consultant: Dar-Al-Hadassah Project Description: DPF have Eleven Buildings. They are building 1 to building 11 all buildings are typical but it has three type. They are type 1, type 2 and type 3. Basically these building are for the senior staff for Saudi Arabian police force & army accommodation of Saudi Arabia. Job Responsibility â¢ Planning of","Name: Aditya Verma
College: Indian Institute of Technology Kanpur
City: Pune
Employment Gap: None

Computer Skills â¢ Holder of valid KSA license â¢ Basic Computer â¢ MS Office â¢ Autocad 2006Education Details January 2005 Diploma Bengaluru, Karnataka Oxford polytechnic Banglore Civil Engineer Civil Engineer - Utility powertech Ltd Skill Details Company Details company - Utility powertech Ltd description - 1. Project Name Nabinagar thermal power Project Aurangabad Bihar Client NTPC/BRBCL Position Civil Engineer company - DAMMAM KSA description - October 2008 to June 2011 AL NAFJAN & AL ABAD CO. DAMMAM KSA Position Civil Engineer Project Undertaken: 1. Project Name: STC & QATIF S/L project no 2065864 Client: Department of civil aviation Main Contractor: Al Nafjan & Al Abad co. Consultant: Arif & Kinfolk 2. Project Name: King Fahad International Airport Client: Department of civil aviation Main Contractor: Al Nafjan & Al Abad co. Consultant: Dar-Al-Hadassah Project Description: DPF have Eleven Buildings. They are building 1 to building 11 all buildings are typical but it has three type. They are type 1, type 2 and type 3. Basically these building are for the senior staff for Saudi Arabian police force & army accommodation of Saudi Arabia. Job Responsibility â¢ Planning of",Diploma,Diploma,Civil Engineering,Civil Engineering,[],{},,32,2.7,32,Mid Career,date_range,"['Nabinagar thermal power Project Aurangabad Bihar', 'STC & QATIF S/L project no 2065864', 'King Fahad International Airport']"
R008,Ananya Iyer,Indian Institute of Technology Guwahati,1,Kolkata,1,0,ETL Developer,"January 2010 to January 2014 BTech CSE Sangli, Maharashtra Walchand College of Engineering October 2009 H.S.C Sangli, Maharashtra Willingdon College August 2007 S.S.C Achievements Sangli, Maharashtra Martin's English School ETL Developer IT Analyst","ETL- Exprience - 48 months EXTRACT, TRANSFORM, AND LOAD- Exprience - 48 months INFORMATICA- Exprience - 48 months MS SQL SERVER- Exprience - 48 months RECONCILIATION- Exprience - 48 months Jira- Exprience - 36 months",company - Tata Consultancy Services description - Project Details Client/Project: Barclays UK London/HEXAD Environment: Informatica (Power,"Name: Ananya Iyer
College: Indian Institute of Technology Guwahati
City: Kolkata
Employment Gap: None

Technical Summary â¢ Knowledge of Informatica Power Center (ver. 9.1 and 10) ETL Tool: Mapping designing, usage of multiple transformations. Integration of various data source like SQL Server tables, Flat Files, etc. into target data warehouse. â¢ SQL/PLSQL working knowledge on Microsoft SQL server 2010. â¢ Unix Work Description: shell scripting, error debugging. â¢ Job scheduling using Autosys, Incident management and Change Requests through Service Now, JIRA, Agile Central â¢ Basic knowledge of Intellimatch (Reconciliation tool) Education Details January 2010 to January 2014 BTech CSE Sangli, Maharashtra Walchand College of Engineering October 2009 H.S.C Sangli, Maharashtra Willingdon College August 2007 S.S.C Achievements Sangli, Maharashtra Martin's English School ETL Developer IT Analyst Skill Details ETL- Exprience - 48 months EXTRACT, TRANSFORM, AND LOAD- Exprience - 48 months INFORMATICA- Exprience - 48 months MS SQL SERVER- Exprience - 48 months RECONCILIATION- Exprience - 48 months Jira- Exprience - 36 monthsCompany Details company - Tata Consultancy Services description - Project Details Client/Project: Barclays UK London/HEXAD Environment: Informatica (Power",B.Tech,B.Tech,Computer Science,Computer Science,"['ETL', 'EXTRACT, TRANSFORM, AND LOAD', 'INFORMATICA', 'MS SQL SERVER', 'RECONCILIATION', 'Jira']","{'ETL': 48, 'EXTRACT, TRANSFORM, AND LOAD': 48, 'Informatica': 48, 'MS SQL Server': 48, 'RECONCILIATION': 48, 'Jira': 36}","ETL, EXTRACT, TRANSFORM, AND LOAD, Informatica, MS SQL Server, RECONCILIATION, Jira",0,0.0,0,Unknown,none,"['Client/Project: Barclays UK London/HEXAD', 'Barclays UK London/HEXAD']"
R009,Arjun Sharma,Indian Institute of Technology Madras,1,Pune,1,0,ETL Developer,"January 2015 Bachelor of Engineering EXTC Mumbai, Maharashtra Mumbai University January 2012 Diploma Industrial Electronics Vashi, MAHARASHTRA, IN Fr. Agnel Polytechnic ETL Developer ETL Developer",informatica- Exprience - 36 months,"company - Blue Shield of California description - Duration: (Mar 2016 - Sept 2017) Description: Blue Shield of California (BSC) is health plan provider. The intent of this project is to process feeds coming in and going out of BSC system related to eligibility, enrollment, and claims subject areas. All these feeds comes in different formats and are processed using Informatica 9.6.1, Oracle 11g, Facets 5.0 &Tidal. Technical environment: ETL tool (Informatica power Center 9.6.1), Oracle 11g (SQL, PL-SQL), UNIX, Facets, Tidal, JIRA, Putty. Role: ETL Developer Responsibilities: â¢ Responsible for analyzing the business requirement document â¢ Involved in development of Informatica mappings using different transformations like source qualifier, expression, filter, router, joiner, union, aggregator, normalizer, sorter, lookup and its corresponding sessions and workflows. â¢ Extensively used Informatica","Name: Arjun Sharma
College: Indian Institute of Technology Madras
City: Pune
Employment Gap: None

Education Details January 2015 Bachelor of Engineering EXTC Mumbai, Maharashtra Mumbai University January 2012 Diploma Industrial Electronics Vashi, MAHARASHTRA, IN Fr. Agnel Polytechnic ETL Developer ETL Developer Skill Details informatica- Exprience - 36 monthsCompany Details company - Blue Shield of California description - Duration: (Mar 2016 - Sept 2017) Description: Blue Shield of California (BSC) is health plan provider. The intent of this project is to process feeds coming in and going out of BSC system related to eligibility, enrollment, and claims subject areas. All these feeds comes in different formats and are processed using Informatica 9.6.1, Oracle 11g, Facets 5.0 &Tidal. Technical environment: ETL tool (Informatica power Center 9.6.1), Oracle 11g (SQL, PL-SQL), UNIX, Facets, Tidal, JIRA, Putty. Role: ETL Developer Responsibilities: â¢ Responsible for analyzing the business requirement document â¢ Involved in development of Informatica mappings using different transformations like source qualifier, expression, filter, router, joiner, union, aggregator, normalizer, sorter, lookup and its corresponding sessions and workflows. â¢ Extensively used Informatica",B.E.,B.E.,Electronics and Telecommunication,Electronics and Telecommunication,['informatica'],{'Informatica': 36},Informatica,18,1.5,18,Early Career,date_range,[]
R010,Neha Kapoor,Indian Institute of Science Bangalore,1,Bangalore,1,0,Mechanical Engineer,"January 2018 Bachelor's of Engineering Engineering Mumbai, Maharashtra MGM College of Engineering Diploma Mechanical Pune, Maharashtra MIT President of Mechanical Engineering Student's Association President of Mechanical Engineering Student's Association",,"company - Full Throttle description - conducted by IIT Bombay. â¢ Worked as a President of Mechanical Engineering Student's Association [MESA] in MIT, Pune. company - R.C Car Race of STEPCONE description - paper & project contest and exhibition conducted by GMR Instiute of Technology.","Name: Neha Kapoor
College: Indian Institute of Science Bangalore
City: Bangalore
Employment Gap: None

Education Details January 2018 Bachelor's of Engineering Engineering Mumbai, Maharashtra MGM College of Engineering Diploma Mechanical Pune, Maharashtra MIT President of Mechanical Engineering Student's Association President of Mechanical Engineering Student's Association Skill Details Company Details company - Full Throttle description - conducted by IIT Bombay. â¢ Worked as a President of Mechanical Engineering Student's Association [MESA] in MIT, Pune. company - R.C Car Race of STEPCONE description - paper & project contest and exhibition conducted by GMR Instiute of Technology.",Diploma,B.E.,Mechanical Engineering,Mechanical Engineering,[],{},,0,0.0,0,Unknown,none,[]
