resume_id,job_id,variant_id,proxy_type,proxy_value,base_score,variant_score,delta
R001,JOB022,R001_CF_NAME,name,Ananya Iyer,0.416366,0.415592,-0.0007739999999999969
R001,JOB022,R001_CF_COLLEGE,college,Indian Institute of Technology Kanpur,0.416366,0.416329,-3.700000000000925e-05
R001,JOB022,R001_CF_CITY,city,Bangalore,0.416366,0.41655,0.00018399999999996197
R001,JOB022,R001_CF_AGE,age,38,0.416366,0.416366,0.0
R001,JOB022,R001_CF_EXPERIENCE,experience,120,0.416366,0.416366,0.0
R002,JOB013,R002_CF_NAME,name,Ishita Chopra,0.524089,0.520371,-0.003717999999999999
R002,JOB013,R002_CF_COLLEGE,college,BITS Pilani,0.524089,0.523669,-0.00041999999999997595
R002,JOB013,R002_CF_CITY,city,Delhi,0.524089,0.518168,-0.005921000000000065
R002,JOB013,R002_CF_DEGREE,degree,B.E.,0.524089,0.52576,0.001670999999999978
R002,JOB013,R002_CF_COURSE,course,Information Technology,0.524089,0.522434,-0.001655000000000073
R002,JOB013,R002_CF_AGE,age,31,0.524089,0.524693,0.0006039999999999379
R002,JOB013,R002_CF_EXPERIENCE,experience,60,0.524089,0.524697,0.0006079999999999419
R003,JOB002,R003_CF_NAME,name,Arjun Sharma,0.388595,0.386871,-0.0017240000000000033
R003,JOB002,R003_CF_COLLEGE,college,Indian Institute of Technology Roorkee,0.388595,0.390261,0.0016660000000000008
R003,JOB002,R003_CF_CITY,city,Mumbai,0.388595,0.389399,0.0008039999999999714
R003,JOB002,R003_CF_DEGREE,degree,B.Com,0.388595,0.393127,0.0045319999999999805
R003,JOB002,R003_CF_COURSE,course,Management,0.388595,0.390525,0.0019299999999999873
R003,JOB002,R003_CF_AGE,age,33,0.388595,0.389191,0.0005959999999999854
R003,JOB002,R003_CF_EXPERIENCE,experience,48,0.388595,0.389595,0.0010000000000000009
R004,JOB008,R004_CF_NAME,name,Aditya Verma,0.641826,0.640779,-0.0010470000000000201
R004,JOB008,R004_CF_COLLEGE,college,Indian Institute of Technology Delhi,0.641826,0.642411,0.0005849999999999467
R004,JOB008,R004_CF_CITY,city,Chennai,0.641826,0.642124,0.00029800000000002047
R004,JOB008,R004_CF_DEGREE,degree,B.Tech,0.641826,0.659473,0.01764699999999997
R004,JOB008,R004_CF_COURSE,course,Civil Engineering,0.641826,0.571285,-0.07054099999999996
R004,JOB008,R004_CF_AGE,age,44,0.641826,0.641826,0.0
R004,JOB008,R004_CF_EXPERIENCE,experience,120,0.641826,0.642428,0.0006019999999999914
