resume_id,job_id,variant_id,proxy_type,original_value,variant_value,jd_requirement,base_score,variant_score,delta,context_classification
R001,JOB022,R001_CF_NAME,name,Priya Nair,Ananya Iyer,"Preferred degree: B.Tech; Accepted degrees: B.Tech, B.E., M.Tech, MCA; Preferred course: Computer Science and Engineering; Accepted courses: Computer Science and Engineering, Information Technology, Computer Applications, Business Intelligence; Minimum experience: 2 years",0.416366,0.415592,-0.0007739999999999969,Not Supported
R001,JOB022,R001_CF_COLLEGE,college,Indian Institute of Technology Bombay,Indian Institute of Technology Kanpur,"Preferred degree: B.Tech; Accepted degrees: B.Tech, B.E., M.Tech, MCA; Preferred course: Computer Science and Engineering; Accepted courses: Computer Science and Engineering, Information Technology, Computer Applications, Business Intelligence; Minimum experience: 2 years",0.416366,0.416329,-3.700000000000925e-05,Not Supported
R001,JOB022,R001_CF_CITY,city,Kolkata,Bangalore,"Preferred degree: B.Tech; Accepted degrees: B.Tech, B.E., M.Tech, MCA; Preferred course: Computer Science and Engineering; Accepted courses: Computer Science and Engineering, Information Technology, Computer Applications, Business Intelligence; Minimum experience: 2 years",0.416366,0.41655,0.00018399999999996197,Not Supported
R001,JOB022,R001_CF_AGE,age,33,38,"Preferred degree: B.Tech; Accepted degrees: B.Tech, B.E., M.Tech, MCA; Preferred course: Computer Science and Engineering; Accepted courses: Computer Science and Engineering, Information Technology, Computer Applications, Business Intelligence; Minimum experience: 2 years",0.416366,0.416366,0.0,Not Supported
R001,JOB022,R001_CF_EXPERIENCE,experience,108,120,"Preferred degree: B.Tech; Accepted degrees: B.Tech, B.E., M.Tech, MCA; Preferred course: Computer Science and Engineering; Accepted courses: Computer Science and Engineering, Information Technology, Computer Applications, Business Intelligence; Minimum experience: 2 years",0.416366,0.416366,0.0,Potentially Beneficial
R002,JOB013,R002_CF_NAME,name,Ananya Iyer,Ishita Chopra,"Preferred degree: MBA; Accepted degrees: MBA, BBA, M.Com; Preferred course: Human Resources; Accepted courses: Human Resources, Business Administration, Commerce; Minimum experience: 1 years",0.524089,0.520371,-0.003717999999999999,Not Supported
R002,JOB013,R002_CF_COLLEGE,college,Indian Institute of Technology Kanpur,BITS Pilani,"Preferred degree: MBA; Accepted degrees: MBA, BBA, M.Com; Preferred course: Human Resources; Accepted courses: Human Resources, Business Administration, Commerce; Minimum experience: 1 years",0.524089,0.523669,-0.00041999999999997595,Not Supported
R002,JOB013,R002_CF_CITY,city,Bangalore,Delhi,"Preferred degree: MBA; Accepted degrees: MBA, BBA, M.Com; Preferred course: Human Resources; Accepted courses: Human Resources, Business Administration, Commerce; Minimum experience: 1 years",0.524089,0.518168,-0.005921000000000065,Not Supported
R002,JOB013,R002_CF_DEGREE,degree,Diploma,B.E.,"Preferred degree: MBA; Accepted degrees: MBA, BBA, M.Com; Preferred course: Human Resources; Accepted courses: Human Resources, Business Administration, Commerce; Minimum experience: 1 years",0.524089,0.52576,0.001670999999999978,Not Supported
R002,JOB013,R002_CF_COURSE,course,Hospitality Management,Information Technology,"Preferred degree: MBA; Accepted degrees: MBA, BBA, M.Com; Preferred course: Human Resources; Accepted courses: Human Resources, Business Administration, Commerce; Minimum experience: 1 years",0.524089,0.522434,-0.001655000000000073,Not Supported
