resume_id,job_id,variant_id,proxy_type,proxy_value,base_score,variant_score,score_delta,abs_delta,direction,context_classification,magnitude_category,audit_signal,primary_changed_component,high_magnitude_direct_proxy,any_decision_flip,flip_direction,base_selected_0.55,variant_selected_0.55,decision_flip_0.55,base_selected_0.6,variant_selected_0.6,decision_flip_0.6,base_selected_0.65,variant_selected_0.65,decision_flip_0.65
R001,JOB022,R001_CF_NAME,name,Ananya Iyer,0.416366,0.415592,-0.000774,0.000774,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R001,JOB022,R001_CF_COLLEGE,college,Indian Institute of Technology Kanpur,0.416366,0.416329,-3.7e-05,3.7e-05,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R001,JOB022,R001_CF_CITY,city,Bangalore,0.416366,0.41655,0.000184,0.000184,Score Increased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R001,JOB022,R001_CF_AGE,age,38,0.416366,0.416366,0.0,0.0,No Change,Not Supported,Low,No Material Change,skills,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R002,JOB013,R002_CF_NAME,name,Ishita Chopra,0.524089,0.520371,-0.003718,0.003718,Score Decreased,Not Supported,Moderate,Potentially Unsupported Proxy — Moderate,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R002,JOB013,R002_CF_COLLEGE,college,BITS Pilani,0.524089,0.523669,-0.00042,0.00042,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R002,JOB013,R002_CF_CITY,city,Delhi,0.524089,0.518168,-0.005921,0.005921,Score Decreased,Not Supported,Very High,Potentially Unsupported Proxy — Very High,semantic,True,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R002,JOB013,R002_CF_AGE,age,31,0.524089,0.524693,0.000604,0.000604,Score Increased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R003,JOB002,R003_CF_NAME,name,Arjun Sharma,0.388595,0.386871,-0.001724,0.001724,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R003,JOB002,R003_CF_COLLEGE,college,Indian Institute of Technology Roorkee,0.388595,0.390261,0.001666,0.001666,Score Increased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R003,JOB002,R003_CF_CITY,city,Mumbai,0.388595,0.389399,0.000804,0.000804,Score Increased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R003,JOB002,R003_CF_AGE,age,33,0.388595,0.389191,0.000596,0.000596,Score Increased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R004,JOB008,R004_CF_NAME,name,Aditya Verma,0.641826,0.640779,-0.001047,0.001047,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,True,True,False,True,True,False,False,False,False
R004,JOB008,R004_CF_COLLEGE,college,Indian Institute of Technology Delhi,0.641826,0.642411,0.000585,0.000585,Score Increased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,True,True,False,True,True,False,False,False,False
R004,JOB008,R004_CF_CITY,city,Chennai,0.641826,0.642124,0.000298,0.000298,Score Increased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,True,True,False,True,True,False,False,False,False
R004,JOB008,R004_CF_AGE,age,44,0.641826,0.641826,0.0,0.0,No Change,Not Supported,Low,No Material Change,skills,False,False,No Decision Flip,True,True,False,True,True,False,False,False,False
R005,JOB009,R005_CF_NAME,name,Neha Kapoor,0.657756,0.655942,-0.001814,0.001814,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,True,True,False,True,True,False,True,True,False
R005,JOB009,R005_CF_COLLEGE,college,Indian Institute of Technology Guwahati,0.657756,0.657869,0.000113,0.000113,Score Increased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,True,True,False,True,True,False,True,True,False
R005,JOB009,R005_CF_CITY,city,Pune,0.657756,0.657782,2.6e-05,2.6e-05,Score Increased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,True,True,False,True,True,False,True,True,False
R005,JOB009,R005_CF_AGE,age,40,0.657756,0.657756,0.0,0.0,No Change,Not Supported,Low,No Material Change,skills,False,False,No Decision Flip,True,True,False,True,True,False,True,True,False
R006,JOB019,R006_CF_NAME,name,Karan Mehta,0.4701,0.470558,0.000458,0.000458,Score Increased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R006,JOB019,R006_CF_COLLEGE,college,Indian Institute of Technology Madras,0.4701,0.471104,0.001004,0.001004,Score Increased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R006,JOB019,R006_CF_CITY,city,Hyderabad,0.4701,0.470682,0.000582,0.000582,Score Increased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R006,JOB019,R006_CF_AGE,age,49,0.4701,0.4701,0.0,0.0,No Change,Not Supported,Low,No Material Change,skills,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R007,JOB006,R007_CF_NAME,name,Vikram Reddy,0.507274,0.508785,0.001511,0.001511,Score Increased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R007,JOB006,R007_CF_COLLEGE,college,Indian Institute of Science Bangalore,0.507274,0.50831,0.001036,0.001036,Score Increased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R007,JOB006,R007_CF_CITY,city,Ahmedabad,0.507274,0.507941,0.000667,0.000667,Score Increased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R007,JOB006,R007_CF_AGE,age,34,0.507274,0.507274,0.0,0.0,No Change,Not Supported,Low,No Material Change,skills,False,False,No Decision Flip,False,False,False,False,False,False,False,False,False
R008,JOB011,R008_CF_NAME,name,Divya Rao,0.644699,0.642864,-0.001835,0.001835,Score Decreased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,True,True,False,True,True,False,False,False,False
R008,JOB011,R008_CF_COLLEGE,college,Indian Institute of Technology Kharagpur,0.644699,0.644844,0.000145,0.000145,Score Increased,Not Supported,Low,Potentially Unsupported Proxy — Low,semantic,False,False,No Decision Flip,True,True,False,True,True,False,False,False,False
