resume_id,job_id,variant_id,proxy_type,proxy_value,base_skills_score,base_experience_score,base_education_course_score,base_projects_score,base_semantic_score,base_score,variant_skills_score,variant_experience_score,variant_education_course_score,variant_projects_score,variant_semantic_score,variant_score,score_delta,company,original_value,variant_value,original_course_status,variant_course_status,jd_requirement,context_classification,primary_changed_component,primary_component_change,primary_weighted_change,explanation
R001,JOB022,R001_CF_NAME,name,Ananya Iyer,0.0,1.0,0.0,0.0,0.769557,0.416366,0.0,1.0,0.0,0.0,0.766267,0.415592,-0.000774,Company_Data_A,Priya Nair,Ananya Iyer,,,Company: Company_Data_A; Preferred course: Computer Science and Engineering; Accepted courses: Computer Science and Engineering|Information Technology|Computer Applications|Business Intelligence; Preferred degree: B.Tech; Accepted degrees: B.Tech|B.E.|M.Tech|MCA; Minimum experience: 2 years,Not Supported,semantic,-0.00329,-0.000774,Changing name to Ananya Iyer changed the score from 0.4164 to 0.4156 (delta -0.0008). semantic made the largest negative weighted contribution change (-0.0008).
R001,JOB022,R001_CF_COLLEGE,college,Indian Institute of Technology Kanpur,0.0,1.0,0.0,0.0,0.769557,0.416366,0.0,1.0,0.0,0.0,0.769399,0.416329,-3.7e-05,Company_Data_A,Indian Institute of Technology Bombay,Indian Institute of Technology Kanpur,,,Company: Company_Data_A; Preferred course: Computer Science and Engineering; Accepted courses: Computer Science and Engineering|Information Technology|Computer Applications|Business Intelligence; Preferred degree: B.Tech; Accepted degrees: B.Tech|B.E.|M.Tech|MCA; Minimum experience: 2 years,Not Supported,semantic,-0.000158,-3.7e-05,Changing college to Indian Institute of Technology Kanpur changed the score from 0.4164 to 0.4163 (delta -0.0000). semantic made the largest negative weighted contribution change (-0.0000).
R001,JOB022,R001_CF_CITY,city,Bangalore,0.0,1.0,0.0,0.0,0.769557,0.416366,0.0,1.0,0.0,0.0,0.770339,0.41655,0.000184,Company_Data_A,Kolkata,Bangalore,,,Company: Company_Data_A; Preferred course: Computer Science and Engineering; Accepted courses: Computer Science and Engineering|Information Technology|Computer Applications|Business Intelligence; Preferred degree: B.Tech; Accepted degrees: B.Tech|B.E.|M.Tech|MCA; Minimum experience: 2 years,Not Supported,semantic,0.000782,0.000184,Changing city to Bangalore changed the score from 0.4164 to 0.4165 (delta +0.0002). semantic made the largest positive weighted contribution change (+0.0002).
R001,JOB022,R001_CF_AGE,age,38,0.0,1.0,0.0,0.0,0.769557,0.416366,0.0,1.0,0.0,0.0,0.769557,0.416366,0.0,Company_Data_A,33,38,,,Company: Company_Data_A; Preferred course: Computer Science and Engineering; Accepted courses: Computer Science and Engineering|Information Technology|Computer Applications|Business Intelligence; Preferred degree: B.Tech; Accepted degrees: B.Tech|B.E.|M.Tech|MCA; Minimum experience: 2 years,Not Supported,skills,0.0,0.0,Changing age to 38 changed the score from 0.4164 to 0.4164 (delta +0.0000). No screening component changed.
R001,JOB022,R001_CF_EXPERIENCE,experience,120,0.0,1.0,0.0,0.0,0.769557,0.416366,0.0,1.0,0.0,0.0,0.769557,0.416366,0.0,Company_Data_A,108,120,,,Company: Company_Data_A; Preferred course: Computer Science and Engineering; Accepted courses: Computer Science and Engineering|Information Technology|Computer Applications|Business Intelligence; Preferred degree: B.Tech; Accepted degrees: B.Tech|B.E.|M.Tech|MCA; Minimum experience: 2 years,Potentially Beneficial,skills,0.0,0.0,Changing experience to 120 changed the score from 0.4164 to 0.4164 (delta +0.0000). No screening component changed.
R002,JOB013,R002_CF_NAME,name,Ishita Chopra,0.333333,1.0,0.0,0.0,0.727377,0.524089,0.333333,1.0,0.0,0.0,0.711578,0.520371,-0.003718,Company_Consulting_A,Ananya Iyer,Ishita Chopra,,,Company: Company_Consulting_A; Preferred course: Human Resources; Accepted courses: Human Resources|Business Administration|Commerce; Preferred degree: MBA; Accepted degrees: MBA|BBA|M.Com; Minimum experience: 1 years,Not Supported,semantic,-0.015799,-0.003717,Changing name to Ishita Chopra changed the score from 0.5241 to 0.5204 (delta -0.0037). semantic made the largest negative weighted contribution change (-0.0037).
R002,JOB013,R002_CF_COLLEGE,college,BITS Pilani,0.333333,1.0,0.0,0.0,0.727377,0.524089,0.333333,1.0,0.0,0.0,0.725593,0.523669,-0.00042,Company_Consulting_A,Indian Institute of Technology Kanpur,BITS Pilani,,,Company: Company_Consulting_A; Preferred course: Human Resources; Accepted courses: Human Resources|Business Administration|Commerce; Preferred degree: MBA; Accepted degrees: MBA|BBA|M.Com; Minimum experience: 1 years,Not Supported,semantic,-0.001784,-0.00042,Changing college to BITS Pilani changed the score from 0.5241 to 0.5237 (delta -0.0004). semantic made the largest negative weighted contribution change (-0.0004).
R002,JOB013,R002_CF_CITY,city,Delhi,0.333333,1.0,0.0,0.0,0.727377,0.524089,0.333333,1.0,0.0,0.0,0.702216,0.518168,-0.005921,Company_Consulting_A,Bangalore,Delhi,,,Company: Company_Consulting_A; Preferred course: Human Resources; Accepted courses: Human Resources|Business Administration|Commerce; Preferred degree: MBA; Accepted degrees: MBA|BBA|M.Com; Minimum experience: 1 years,Not Supported,semantic,-0.025161,-0.00592,Changing city to Delhi changed the score from 0.5241 to 0.5182 (delta -0.0059). semantic made the largest negative weighted contribution change (-0.0059).
R002,JOB013,R002_CF_DEGREE,degree,B.E.,0.333333,1.0,0.0,0.0,0.727377,0.524089,0.333333,1.0,0.0,0.0,0.73448,0.52576,0.001671,Company_Consulting_A,Diploma,B.E.,,,Company: Company_Consulting_A; Preferred course: Human Resources; Accepted courses: Human Resources|Business Administration|Commerce; Preferred degree: MBA; Accepted degrees: MBA|BBA|M.Com; Minimum experience: 1 years,Not Supported,semantic,0.007103,0.001671,Changing degree to B.E. changed the score from 0.5241 to 0.5258 (delta +0.0017). semantic made the largest positive weighted contribution change (+0.0017).
R002,JOB013,R002_CF_COURSE,course,Information Technology,0.333333,1.0,0.0,0.0,0.727377,0.524089,0.333333,1.0,0.0,0.0,0.720345,0.522434,-0.001655,Company_Consulting_A,Hospitality Management,Information Technology,Unrelated,Unrelated,Company: Company_Consulting_A; Preferred course: Human Resources; Accepted courses: Human Resources|Business Administration|Commerce; Preferred degree: MBA; Accepted degrees: MBA|BBA|M.Com; Minimum experience: 1 years,No Relevant Improvement,semantic,-0.007032,-0.001655,Changing course to Information Technology changed the score from 0.5241 to 0.5224 (delta -0.0017). semantic made the largest negative weighted contribution change (-0.0017).
R002,JOB013,R002_CF_AGE,age,31,0.333333,1.0,0.0,0.0,0.727377,0.524089,0.333333,1.0,0.0,0.0,0.729944,0.524693,0.000604,Company_Consulting_A,26,31,,,Company: Company_Consulting_A; Preferred course: Human Resources; Accepted courses: Human Resources|Business Administration|Commerce; Preferred degree: MBA; Accepted degrees: MBA|BBA|M.Com; Minimum experience: 1 years,Not Supported,semantic,0.002567,0.000604,Changing age to 31 changed the score from 0.5241 to 0.5247 (delta +0.0006). semantic made the largest positive weighted contribution change (+0.0006).
