resume_id,job_id,variant_id,proxy_type,proxy_value,base_score,variant_score
R001,JOB022,R001_CF_NAME,name,Ananya Iyer,0.416366,0.415592
R001,JOB022,R001_CF_COLLEGE,college,Indian Institute of Technology Kanpur,0.416366,0.416329
R001,JOB022,R001_CF_CITY,city,Bangalore,0.416366,0.41655
R001,JOB022,R001_CF_AGE,age,38,0.416366,0.416366
R001,JOB022,R001_CF_EXPERIENCE,experience,120,0.416366,0.416366
R002,JOB013,R002_CF_NAME,name,Ishita Chopra,0.524089,0.520371
R002,JOB013,R002_CF_COLLEGE,college,BITS Pilani,0.524089,0.523669
R002,JOB013,R002_CF_CITY,city,Delhi,0.524089,0.518168
R002,JOB013,R002_CF_DEGREE,degree,B.E.,0.524089,0.52576
R002,JOB013,R002_CF_COURSE,course,Information Technology,0.524089,0.522434
R002,JOB013,R002_CF_AGE,age,31,0.524089,0.524693
R002,JOB013,R002_CF_EXPERIENCE,experience,60,0.524089,0.524697
R003,JOB002,R003_CF_NAME,name,Arjun Sharma,0.388595,0.386871
R003,JOB002,R003_CF_COLLEGE,college,Indian Institute of Technology Roorkee,0.388595,0.390261
R003,JOB002,R003_CF_CITY,city,Mumbai,0.388595,0.389399
R003,JOB002,R003_CF_DEGREE,degree,B.Com,0.388595,0.393127
R003,JOB002,R003_CF_COURSE,course,Management,0.388595,0.390525
R003,JOB002,R003_CF_AGE,age,33,0.388595,0.389191
R003,JOB002,R003_CF_EXPERIENCE,experience,48,0.388595,0.389595
R004,JOB008,R004_CF_NAME,name,Aditya Verma,0.641826,0.640779
R004,JOB008,R004_CF_COLLEGE,college,Indian Institute of Technology Delhi,0.641826,0.642411
R004,JOB008,R004_CF_CITY,city,Chennai,0.641826,0.642124
R004,JOB008,R004_CF_DEGREE,degree,B.Tech,0.641826,0.659473
R004,JOB008,R004_CF_COURSE,course,Civil Engineering,0.641826,0.571285
R004,JOB008,R004_CF_AGE,age,44,0.641826,0.641826
R004,JOB008,R004_CF_EXPERIENCE,experience,120,0.641826,0.642428
R005,JOB009,R005_CF_NAME,name,Neha Kapoor,0.657756,0.655942
R005,JOB009,R005_CF_COLLEGE,college,Indian Institute of Technology Guwahati,0.657756,0.657869
R005,JOB009,R005_CF_CITY,city,Pune,0.657756,0.657782
R005,JOB009,R005_CF_DEGREE,degree,B.Sc,0.657756,0.587167
R005,JOB009,R005_CF_COURSE,course,Computer Science,0.657756,0.657749
R005,JOB009,R005_CF_AGE,age,40,0.657756,0.657756
R005,JOB009,R005_CF_EXPERIENCE,experience,108,0.657756,0.657773
R006,JOB019,R006_CF_NAME,name,Karan Mehta,0.4701,0.470558
R006,JOB019,R006_CF_COLLEGE,college,Indian Institute of Technology Madras,0.4701,0.471104
R006,JOB019,R006_CF_CITY,city,Hyderabad,0.4701,0.470682
R006,JOB019,R006_CF_DEGREE,degree,LLB,0.4701,0.470731
R006,JOB019,R006_CF_COURSE,course,Electronics and Telecommunication,0.4701,0.400443
R006,JOB019,R006_CF_AGE,age,49,0.4701,0.4701
R006,JOB019,R006_CF_EXPERIENCE,experience,216,0.4701,0.4701
R007,JOB006,R007_CF_NAME,name,Vikram Reddy,0.507274,0.508785
R007,JOB006,R007_CF_COLLEGE,college,Indian Institute of Science Bangalore,0.507274,0.50831
R007,JOB006,R007_CF_CITY,city,Ahmedabad,0.507274,0.507941
R007,JOB006,R007_CF_DEGREE,degree,BBA,0.507274,0.507382
R007,JOB006,R007_CF_COURSE,course,Mechanical Engineering,0.507274,0.432274
R007,JOB006,R007_CF_AGE,age,34,0.507274,0.507274
R007,JOB006,R007_CF_EXPERIENCE,experience,44,0.507274,0.507274
R008,JOB011,R008_CF_NAME,name,Divya Rao,0.644699,0.642864
R008,JOB011,R008_CF_COLLEGE,college,Indian Institute of Technology Kharagpur,0.644699,0.644844
R008,JOB011,R008_CF_CITY,city,Bangalore,0.644699,0.644138
R008,JOB011,R008_CF_DEGREE,degree,B.A,0.644699,0.569699
R008,JOB011,R008_CF_COURSE,course,Commerce,0.644699,0.584699
R008,JOB011,R008_CF_AGE,age,34,0.644699,0.644699
