resume_id,job_id,variant_id,proxy_type,proxy_value,base_skills_score,base_experience_score,base_education_course_score,base_projects_score,base_semantic_score,base_score,variant_skills_score,variant_experience_score,variant_education_course_score,variant_projects_score,variant_semantic_score,variant_score,score_delta
R001,JOB022,R001_CF_NAME,name,Ananya Iyer,0.0,1.0,0.0,0.0,0.769557,0.416366,0.0,1.0,0.0,0.0,0.766267,0.415592,-0.000774
R001,JOB022,R001_CF_COLLEGE,college,Indian Institute of Technology Kanpur,0.0,1.0,0.0,0.0,0.769557,0.416366,0.0,1.0,0.0,0.0,0.769399,0.416329,-3.7e-05
R001,JOB022,R001_CF_CITY,city,Bangalore,0.0,1.0,0.0,0.0,0.769557,0.416366,0.0,1.0,0.0,0.0,0.770339,0.41655,0.000184
R001,JOB022,R001_CF_AGE,age,38,0.0,1.0,0.0,0.0,0.769557,0.416366,0.0,1.0,0.0,0.0,0.769557,0.416366,0.0
R001,JOB022,R001_CF_EXPERIENCE,experience,120,0.0,1.0,0.0,0.0,0.769557,0.416366,0.0,1.0,0.0,0.0,0.769557,0.416366,0.0
R002,JOB013,R002_CF_NAME,name,Ishita Chopra,0.333333,1.0,0.0,0.0,0.727377,0.524089,0.333333,1.0,0.0,0.0,0.711578,0.520371,-0.003718
R002,JOB013,R002_CF_COLLEGE,college,BITS Pilani,0.333333,1.0,0.0,0.0,0.727377,0.524089,0.333333,1.0,0.0,0.0,0.725593,0.523669,-0.00042
R002,JOB013,R002_CF_CITY,city,Delhi,0.333333,1.0,0.0,0.0,0.727377,0.524089,0.333333,1.0,0.0,0.0,0.702216,0.518168,-0.005921
R002,JOB013,R002_CF_DEGREE,degree,B.E.,0.333333,1.0,0.0,0.0,0.727377,0.524089,0.333333,1.0,0.0,0.0,0.73448,0.52576,0.001671
R002,JOB013,R002_CF_COURSE,course,Information Technology,0.333333,1.0,0.0,0.0,0.727377,0.524089,0.333333,1.0,0.0,0.0,0.720345,0.522434,-0.001655
R002,JOB013,R002_CF_AGE,age,31,0.333333,1.0,0.0,0.0,0.727377,0.524089,0.333333,1.0,0.0,0.0,0.729944,0.524693,0.000604
R002,JOB013,R002_CF_EXPERIENCE,experience,60,0.333333,1.0,0.0,0.0,0.727377,0.524089,0.333333,1.0,0.0,0.0,0.729963,0.524697,0.000608
R003,JOB002,R003_CF_NAME,name,Arjun Sharma,0.0,1.0,0.0,0.0,0.651528,0.388595,0.0,1.0,0.0,0.0,0.644201,0.386871,-0.001724
R003,JOB002,R003_CF_COLLEGE,college,Indian Institute of Technology Roorkee,0.0,1.0,0.0,0.0,0.651528,0.388595,0.0,1.0,0.0,0.0,0.658611,0.390261,0.001666
R003,JOB002,R003_CF_CITY,city,Mumbai,0.0,1.0,0.0,0.0,0.651528,0.388595,0.0,1.0,0.0,0.0,0.654945,0.389399,0.000804
R003,JOB002,R003_CF_DEGREE,degree,B.Com,0.0,1.0,0.0,0.0,0.651528,0.388595,0.0,1.0,0.0,0.0,0.670788,0.393127,0.004532
R003,JOB002,R003_CF_COURSE,course,Management,0.0,1.0,0.0,0.0,0.651528,0.388595,0.0,1.0,0.0,0.0,0.65973,0.390525,0.00193
